facility_name,place_id,structured_output,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Avila WWTP,206888,True,698,10696,11394,0,
Calistoga City Dunaweal WWTP,212750,True,1878,12027,13905,0,
City of Morro Bay Water Reclamation Facility,882248,True,1484,11689,13173,0,
Clovis WWTF,214899,True,1148,11230,12378,0,
Coachella Valley WD WWTP,216446,True,1786,11789,13575,0,
Covelo POTW,215966,True,951,11269,12220,0,
Dunsmuir WWTP,220850,True,1576,11286,12862,0,
EBMUD WPCP,222132,True,1294,11290,12584,0,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,True,1621,12942,14563,0,
Eureka City Elk River WWTP,223010,True,1255,11691,12946,0,
Forestville Water District,224901,True,930,12475,13405,0,
Delleker WWTP,219530,False,220,10654,10874,0,
Healdsburg City WWTP,229922,True,720,11899,12619,0,
Holtville City WWTP,230588,True,936,10532,11468,0,
IEUA Regional Plant No. 1,259165,True,2249,11975,14224,0,
Whittier Narrows Water Reclamation Plant,235826,True,846,10654,11500,0,
San Jose Creek Water Reclamation Plant,260156,True,1422,10655,12077,0,
Linda Cnty Water District WWTP,237060,True,1791,11626,13417,0,
Malibu Mesa WRP,242162,True,1439,10888,12327,0,
City of Manteca WW Quality Control Facility,239343,True,1384,11219,12603,0,
Marin CSD 5 Paradise Cove WWTP,239498,True,1026,10605,11631,0,
McKinleyville WWTP,240093,True,1346,12075,13421,0,
Montecito SD WWTP,241288,False,343,10949,11292,0,
Mountain House WWTP,241598,False,309,10488,10797,0,
Mt. View Sanitary District WWTP,241815,True,1915,11072,12987,0,
Nevada City WWTP,244141,True,1110,10731,11841,0,
OCSD Plant 1,758392,False,161,12362,12523,0,
Palo Alto Regional WQCP,247457,True,1683,11738,13421,0,
Redway POTW,252211,True,1013,10934,11947,0,
Hammonton Gold Village WWTP,229559,True,648,10450,11098,0,
San Jose/Santa Clara WPCP,255333,True,1258,13251,14509,0,
San Simeon WWTP,255462,True,1004,10679,11683,0,
Saugus Water Reclamation Plant,260494,True,1293,11362,12655,0,
Sewerage Commission Oroville Region WWTP,246251,True,1814,10846,12660,0,
Shasta Lake WWTF,256627,True,917,10403,11320,0,
SVCW WWTP,255833,True,1570,11346,12916,0,
Wastewater Recovery Center,258739,True,2247,11953,14200,0,
Summerland SD WWTP,259377,False,292,10625,10917,0,
Mineral WWTP,240864,True,631,10980,11611,0,
Discovery Bay WWTP,220315,True,1425,10894,12319,0,
Treasure Island WWTP/DOD,266328,False,164,11407,11571,0,
UC Davis Main WWTP,268926,True,888,10313,11201,0,
Ukiah City WWTP,268960,False,364,11400,11764,0,
US Navy Naval Air Facility WWTP,269449,True,772,10512,11284,0,
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,True,1715,11451,13166,0,
Watsonville WWTP,271872,True,1418,10946,12364,0,
Woodland Water Pollution Control Facility,272960,True,1560,12820,14380,0,
Carmel Area WWTP,213281,True,2001,11297,13298,0,
IEUA Regional Plant No. 2,259166,True,2146,11975,14121,0,
J.B. Latham WWTP,236649,True,1197,12384,13581,0,
Clovis WWTF,214899,True,1167,10607,11774,0,
EBMUD WPCP,222132,False,364,11027,11391,0,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,False,161,12661,12822,0,
Eureka City Elk River WWTP,223010,True,1133,11410,12543,0,
Healdsburg City WWTP,229922,True,887,11991,12878,0,
IEUA Regional Plant No. 1,259165,FAILED,0,0,0,0,
IEUA Regional Plant No. 2,259166,FAILED,0,0,0,0,
IEUA Regional Plant No. 1,259165,True,2986,12126,15112,0,
IEUA Regional Plant No. 2,259166,True,2046,12126,14172,0,
Malibu Mesa WRP,242162,False,396,11039,11435,0,
McKinleyville WWTP,240093,True,1254,11891,13145,0,
Mt. View Sanitary District WWTP,241815,True,1705,11857,13562,0,
San Jose/Santa Clara WPCP,255333,True,1312,13804,15116,0,
J.B. Latham WWTP,236649,True,1024,13794,14818,0,
Carmel Area WWTP,213281,True,1925,11697,13622,0,
