Place ID,CWNS_ID,Facility Name,system_type,construction_type,disinfectant,current_mgd,future_mgd,mgd_used,flow_source,n_future_processes,future_processes,cost_2022usd,within_curve_limit,curve_basis,excluded_reason,cwns_reported_I_II_2022usd,cwns_has_advanced_need,cwns_has_secondary_need
849194,,Civita Water Reclamation Facility,advanced,new,,0.33,,,CIWQS,4,Chlorination; Membrane Bioreactor; Screening/Microstrainer; Unspecified AS,,,,no design flow,,False,False
268043,,Encinal Canyon Water Recycling Plant on Tract 46277,advanced,new,,0.025,,,CIWQS,5,Chlorination; Equalization; Screening/Microstrainer; Unspecified Membrane Process; Unspecified Nutrient Removal,,,,no design flow,,False,False
230555,06003063001,Hollister Domestic WWTP,advanced,new,,2.69,2.69,2.69,CWNS,10,Chlorination; Denitrification; Grit Removal; Membrane Bioreactor; Nitrification; Screening/Microstrainer; Ultrafiltration; Unspecified AS; Unspecified Chemical Addition; Unspecified Nutrient Removal,24802839.36,True,Capdet,,,False,False
888692,,Hyperion Advanced Water Purification Facility,advanced,new,,1.5,,,CIWQS,10,Denitrification; Membrane Bioreactor; Neutralization; Nitrification; Reverse Osmosis; Screening/Microstrainer; UV Disinfection; UV-AOP; Unspecified Filtration; Unspecified Nutrient Removal,,,,no design flow,,False,False
846371,,Membrane Filtration/Reverse Osmosis Facility - Escondido,advanced,new,,,,,,7,Equalization; Microfiltration; Reverse Osmosis; Screening/Microstrainer; Ultrafiltration; Unspecified Chemical Addition; Unspecified Filtration,,,,no design flow,,False,False
241099,,Oakwood Lake WWTF,advanced,new,,0.015,,,CIWQS,13,Chlorination; Coagulation; Denitrification; Equalization; Land Application; Mechanical Dewatering; Media Filtration; SBR; Screening/Microstrainer; Unspecified Chemical Addition; Unspecified Digestion; Unspecified Lagoon; Unspecified Nutrient Removal,,,,no design flow,,False,False
257153,,"Palm Springs Village-309, LLC Silvertip Resort Village WWTF",advanced,new,,0.074,,,CIWQS,9,Chlorination; Denitrification; Equalization; Microfiltration; Secondary Clarification; Septic Tank; Trickling Filter; UV Disinfection; Unspecified AS,,,,no design flow,,False,False
739154,,Tejon Mountain Village,advanced,new,,,,,,11,Chlorination; Denitrification; Equalization; Media Filtration; Nitrification; SBR; Screening/Microstrainer; UV Disinfection; Unspecified AS; Unspecified Lagoon; Unspecified Nutrient Removal,,,,no design flow,,False,False
817457,,Tesoro Viejo WWTP,advanced,new,,,,,,10,Denitrification; Equalization; Membrane Bioreactor; Nitrification; SBR; Screening/Microstrainer; UV Disinfection; Unspecified AS; Unspecified Lagoon; Unspecified Nutrient Removal,,,,no design flow,,False,False
244531,,The Preserve at Millerton Lake,advanced,new,,0.047,,,CIWQS,13,Biologically Active Filtration; Chlorination; Denitrification; Equalization; Mechanical Dewatering; Membrane Bioreactor; Nitrification; Screening/Microstrainer; Thickening; UV Disinfection; Ultrafiltration; Unspecified Lagoon; Unspecified Nutrient Removal,,,,no design flow,,False,False
761913,,VVWRA Sub-Regional Plant-Apple Valley,advanced,new,,,,,,7,Denitrification; Grit Removal; Membrane Bioreactor; Nitrification; Screening/Microstrainer; UV Disinfection; Unspecified Nutrient Removal,,,,no design flow,,False,False
