facility_name,place_id,structured_output,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Avila WWTP,206888,True,2616,3559,6175,2304,
Calistoga City Dunaweal WWTP,212750,True,6825,4673,11498,6144,
City of Morro Bay Water Reclamation Facility,882248,True,8000,4395,12395,7424,
Clovis WWTF,214899,True,5400,3947,9347,4864,
Coachella Valley WD WWTP,216446,True,5072,4503,9575,4224,
Covelo POTW,215966,True,6695,4071,10766,6016,
Dunsmuir WWTP,220850,True,5583,3953,9536,5056,
EBMUD WPCP,222132,True,7547,4031,11578,6720,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,True,4945,5445,10390,4544,
Eureka City Elk River WWTP,223010,True,4248,4410,8658,3712,
Forestville Water District,224901,True,8043,5191,13234,7424,
Delleker WWTP,219530,True,5732,3643,9375,5376,
Healdsburg City WWTP,229922,True,5893,4641,10534,5312,
Holtville City WWTP,230588,True,4136,3511,7647,3712,
IEUA Regional Plant No. 1,259165,True,5427,4636,10063,4800,
IEUA Regional Plant No. 2,259166,True,2680,4636,7316,2368,
Whittier Narrows Water Reclamation Plant,235826,True,5876,3520,9396,5440,
San Jose Creek Water Reclamation Plant,260156,True,5888,3563,9451,5440,
Linda Cnty Water District WWTP,237060,True,5550,4474,10024,4928,
Malibu Mesa WRP,242162,True,4423,3708,8131,3968,
City of Manteca WW Quality Control Facility,239343,True,7955,4056,12011,7232,
Marin CSD 5 Paradise Cove WWTP,239498,True,3652,3469,7121,3328,
McKinleyville WWTP,240093,True,6335,4821,11156,5952,
Montecito SD WWTP,241288,True,5481,3741,9222,4928,
Mountain House WWTP,241598,True,5636,3376,9012,5120,
Mt. View Sanitary District WWTP,241815,True,5995,4480,10475,5184,
Nevada City WWTP,244141,True,6155,3583,9738,5504,
OCSD Plant 1,758392,True,7313,6037,13350,6720,
Palo Alto Regional WQCP,247457,True,5797,4539,10336,5056,
Redway POTW,252211,True,4202,4134,8336,3712,
Hammonton Gold Village WWTP,229559,True,5358,3344,8702,5120,
San Jose/Santa Clara WPCP,255333,True,9609,6060,15669,8320,
San Simeon WWTP,255462,True,5100,3501,8601,4672,
Saugus Water Reclamation Plant,260494,True,6603,4106,10709,5952,
Sewerage Commission Oroville Region WWTP,246251,True,5965,3667,9632,5312,
Shasta Lake WWTF,256627,True,3257,3411,6668,2816,
SVCW WWTP,255833,True,8444,4241,12685,7488,
Wastewater Recovery Center,258739,True,10026,4634,14660,9216,
Summerland SD WWTP,259377,True,3628,3472,7100,3328,
Mineral WWTP,240864,True,5746,3925,9671,5376,
Discovery Bay WWTP,220315,True,4884,3840,8724,4288,
Treasure Island WWTP/DOD,266328,True,4733,4211,8944,4160,
UC Davis Main WWTP,268926,True,4044,3324,7368,3584,
Ukiah City WWTP,268960,True,4970,4238,9208,4224,
US Navy Naval Air Facility WWTP,269449,True,3587,3515,7102,3200,
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,True,4115,4248,8363,3712,
Watsonville WWTP,271872,True,4859,3823,8682,4288,
Woodland Water Pollution Control Facility,272960,True,7448,5504,12952,6720,
Carmel Area WWTP,213281,True,6664,4050,10714,5696,
J.B. Latham WWTP,236649,True,2629,6429,9058,2176,
Lancaster Water Reclamation Plant,236378,True,6208,4887,11095,5568,
Hilton Creek CSD Package STP,230429,True,3369,3329,6698,3136,
Clear Creek WWTP,214802,True,11575,5966,17541,10624,
EchoWater Resource Recovery Facility,254981,True,9475,4755,14230,8576,
Tesoro Viejo WWTP,817457,True,4721,4161,8882,4416,
Riverdale WWTF,273185,True,6553,3715,10268,6272,
City of San Clemente WRP,255218,True,4152,6429,10581,3584,
Civita Water Reclamation Facility,849194,True,3373,3528,6901,3136,
Housing Authority Cnty of Merced - Los Banos,240362,True,2154,3409,5563,2048,
Hyperion Advanced Water Purification Facility,888692,True,8602,4860,13462,8064,
South Entrance Wastewater Facility,826481,True,3308,3677,6985,3136,
