facility_name,place_id,structured_output,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Avila WWTP,206888,True,2616,3559,6175,2304,
Calistoga City Dunaweal WWTP,212750,True,8313,4551,12864,7488,
City of Morro Bay Water Reclamation Facility,882248,True,6350,3736,10086,5696,
Clovis WWTF,214899,True,5645,3909,9554,5248,
Coachella Valley WD WWTP,216446,True,8122,4381,12503,7360,
Covelo POTW,215966,True,6695,4071,10766,6016,
Dunsmuir WWTP,220850,True,5832,4113,9945,5504,
EBMUD WPCP,222132,True,8432,3993,12425,7616,
Membrane Filtration/Reverse Osmosis Facility - Escondido,846371,True,5047,4275,9322,4928,
Eureka City Elk River WWTP,223010,True,3658,3951,7609,3200,
Forestville Water District,224901,True,8043,5191,13234,7424,
Delleker WWTP,219530,True,7064,3561,10625,6656,
Healdsburg City WWTP,229922,True,5893,4641,10534,5312,
Holtville City WWTP,230588,True,4448,3389,7837,4032,
IEUA Regional Plant No. 1,259165,True,5545,4555,10100,4864,
IEUA Regional Plant No. 2,259166,True,4984,4555,9539,4736,
Whittier Narrows Water Reclamation Plant,235826,True,5876,3520,9396,5440,
San Jose Creek Water Reclamation Plant,260156,True,5888,3563,9451,5440,
Linda Cnty Water District WWTP,237060,True,5796,4352,10148,5120,
Malibu Mesa WRP,242162,True,5422,3656,9078,4992,
City of Manteca WW Quality Control Facility,239343,True,7955,4056,12011,7232,
Marin CSD 5 Paradise Cove WWTP,239498,True,3652,3469,7121,3328,
McKinleyville WWTP,240093,True,6335,4821,11156,5952,
Montecito SD WWTP,241288,True,5621,3661,9282,5120,
Mountain House WWTP,241598,True,5636,3376,9012,5120,
Mt. View Sanitary District WWTP,241815,True,4665,3877,8542,3904,
Nevada City WWTP,244141,True,6155,3583,9738,5504,
OCSD Plant 1,758392,True,4288,3746,8034,3968,
Palo Alto Regional WQCP,247457,True,5797,4539,10336,5056,
Redway POTW,252211,True,7508,3751,11259,6784,
Hammonton Gold Village WWTP,229559,True,5358,3344,8702,5120,
San Jose/Santa Clara WPCP,255333,True,9700,5719,15419,8512,
San Simeon WWTP,255462,True,3962,3421,7383,3648,
Saugus Water Reclamation Plant,260494,True,7533,4026,11559,7040,
Sewerage Commission Oroville Region WWTP,246251,True,6792,3720,10512,6016,
Shasta Lake WWTF,256627,True,3350,3289,6639,3072,
SVCW WWTP,255833,True,8248,4119,12367,7552,
Wastewater Recovery Center,258739,True,10026,4634,14660,9216,
Summerland SD WWTP,259377,True,3770,3392,7162,3264,
Mineral WWTP,240864,True,6585,3803,10388,6144,
Discovery Bay WWTP,220315,True,3635,3718,7353,3072,
Treasure Island WWTP/DOD,266328,True,4733,4211,8944,4160,
UC Davis Main WWTP,268926,True,3440,3202,6642,3072,
Ukiah City WWTP,268960,True,4970,4238,9208,4224,
US Navy Naval Air Facility WWTP,269449,True,3907,3393,7300,3520,
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,True,4557,4210,8767,3968,
Watsonville WWTP,271872,True,5847,3793,9640,5312,
Woodland Water Pollution Control Facility,272960,True,8169,5382,13551,7616,
Carmel Area WWTP,213281,True,6664,4050,10714,5696,
J.B. Latham WWTP,236649,True,2968,4869,7837,2624,
