facility_name,place_id,structured_output,completion_token,prompt_token,total_token,reasoning_token,cost_usd
Forestville Water District,224901,True,0,0,0,0,0.2086548
Delleker WWTP,219530,True,0,0,0,0,0.29018065
Healdsburg City WWTP,229922,True,0,0,0,0,0.0773132499999999
Holtville City WWTP,230588,True,0,0,0,0,0.29789085
IEUA Regional Plant No. 1,259165,True,0,0,0,0,0.29822405
IEUA Regional Plant No. 2,259166,True,0,0,0,0,0.25756245
Whittier Narrows Water Reclamation Plant,235826,True,0,0,0,0,0.1936532999999999
San Jose Creek Water Reclamation Plant,260156,True,0,0,0,0,0.1012392
Linda Cnty Water District WWTP,237060,True,0,0,0,0,0.2681534
Malibu Mesa WRP,242162,True,0,0,0,0,0.2672674
City of Manteca WW Quality Control Facility,239343,True,0,0,0,0,0.13519485
Marin CSD 5 Paradise Cove WWTP,239498,True,0,0,0,0,0.1525729
McKinleyville WWTP,240093,True,0,0,0,0,0.2064327
Montecito SD WWTP,241288,True,0,0,0,0,0.29972015
Mountain House WWTP,241598,True,0,0,0,0,0.3145773
Mt. View Sanitary District WWTP,241815,True,0,0,0,0,0.2776978
Nevada City WWTP,244141,True,0,0,0,0,0.21581905
OCSD Plant 1,758392,True,0,0,0,0,0.22591105
Palo Alto Regional WQCP,247457,True,0,0,0,0,0.3621058
Redway POTW,252211,True,0,0,0,0,0.3597647499999999
Hammonton Gold Village WWTP,229559,True,0,0,0,0,0.0782237999999999
San Jose/Santa Clara WPCP,255333,True,0,0,0,0,0.1150414
San Simeon WWTP,255462,True,0,0,0,0,0.2777745499999999
Saugus Water Reclamation Plant,260494,True,0,0,0,0,0.1319152499999999
Sewerage Commission Oroville Region WWTP,246251,True,0,0,0,0,0.0807215
Shasta Lake WWTF,256627,True,0,0,0,0,0.2094877999999999
SVCW WWTP,255833,True,0,0,0,0,0.2606226499999999
Wastewater Recovery Center,258739,True,0,0,0,0,0.3743107
Summerland SD WWTP,259377,True,0,0,0,0,0.30262315
Mineral WWTP,240864,True,0,0,0,0,0.16631115
Discovery Bay WWTP,220315,True,0,0,0,0,0.07454825
Treasure Island WWTP/DOD,266328,True,0,0,0,0,0.0760359499999999
UC Davis Main WWTP,268926,True,0,0,0,0,0.1840785999999999
Ukiah City WWTP,268960,True,0,0,0,0,0.22323885
US Navy Naval Air Facility WWTP,269449,True,0,0,0,0,0.06650715
Vallejo Flood & Wastewater District (VFWD) WWTP,270006,True,0,0,0,0,0.1171138499999999
Watsonville WWTP,271872,True,0,0,0,0,0.0773143999999999
Woodland Water Pollution Control Facility,272960,True,0,0,0,0,0.2948151
Carmel Area WWTP,213281,True,0,0,0,0,0.1527968999999999
Dunsmuir WWTP,220850,True,0,0,0,0,0.2710293
Eureka City Elk River WWTP,223010,True,0,0,0,0,0.11830885
Clovis WWTF,214899,True,0,0,0,0,0.1324638
EBMUD WPCP,222132,True,0,0,0,0,0.12268105
J.B. Latham WWTP,236649,True,0,0,0,0,0.08596445
